participant;condition;layout;chats;part;topic;duration
1;A;1;3;3;Pöytätenniksen säännöt;154,98
1;A;1;3;3;Arkkupakastin;228,21
1;A;1;3;3;Cheerleadingin kilpailusäännöt;219,22
1;B;2;3;4;Taekwondon kilpailusäännöt;353,89
1;B;2;3;4;Langattomat Bluetooth-kuulokkeet;404,09
1;C;1;4;1;Pyykinpesukone;359,58
1;D;2;4;2;Päältäajettava ruohonleikkuri;370,21
1;D;2;4;2;Uuni;401,47
1;D;2;4;2;Kiuas;361,95
1;D;2;4;2;Kuivauskaappi;341,79
2;A;1;3;2;Koripallon pelisäännöt;345,82
2;A;1;3;2;Astianpesukone;322,56
2;A;1;3;2;Pyykinpesukone;430,00
2;B;2;3;3;Mankeli;280,64
2;B;2;3;3;Agility;251,21
2;C;1;4;4;Arkkupakastin;458,52
2;C;1;4;4;Pöytätenniksen säännöt;432,56
3;A;1;3;2;Astianpesukone;388,34
3;A;1;3;2;Langattomat Bluetooth-kuulokkeet;333,99
3;A;1;3;2;Ompelukone;230,65
3;B;2;3;4;Päältäajettava ruohonleikkuri;220,61
3;B;2;3;4;Miekkailu;298,71
3;B;2;3;4;Nelikopteri;425,95
3;C;1;4;3;Mankeli;170,22
3;C;1;4;3;Kuivauskaappi;232,60
3;C;1;4;3;Painepesuri;376,19
4;A;1;3;4;Lämpöpumppu;426,92
4;A;1;3;4;Tenniksen kilpailumääräykset;354,05
4;A;1;3;4;Pöytätenniksen säännöt;223,06
4;B;2;3;2;Pyykinpesukone;303,47
4;B;2;3;2;Päältäajettava ruohonleikkuri;295,38
4;B;2;3;2;Liesituuletin;445,77
4;C;1;4;3;Miekkailu;382,09
4;D;2;4;1;Koripallon pelisäännöt;456,56
4;D;2;4;1;Mankeli;403,61
4;D;2;4;1;Kuivausrumpu;438,63
5;A;1;3;4;Cheerleadingin kilpailusäännöt;333,81
5;A;1;3;4;Liesituuletin;393,97
5;A;1;3;4;Kamiina;291,08
5;B;2;3;3;Miekkailu;415,99
5;B;2;3;3;Jalkapallosäännöt;471,89
5;B;2;3;3;Koripallon pelisäännöt;401,74
5;C;1;4;2;Päältäajettava ruohonleikkuri;426,26
6;A;1;3;1;Mankeli;229,32
