participant;group;conditions;first_layout;more_pleasant;more_efficient;difference_between_3_and_4;
6;1;A, B, C, D;1;2;2;no;
7;2;A, B, D, C;1;2;2;yes;
8;3;A, C, B, D;1;2;2;no;
9;4;A, C, D, B;1;2;2;yes;
10;5;A, D, B, C;1;1;1;yes;
23;6;A, D, C, B;1;1;1;no;
11;7;B, A, C, D;2;2;2;no;
12;8;B, A, D, C;2;1;1;yes;
13;9;B, C, A, D;2;1;1;yes;
14;10;B, C, D, A;2;1;1;yes;
15;11;B, D, A, C;2;1;1;yes;
16;12;B, D, C, A;2;1;1;yes;
24;13;C, A, B, D;1;2;2;yes;
17;14;C, A, D, B;1;2;2;yes;
18;15;C, B, A, D;1;2;2;yes;
19;16;C, B, D, A;1;1;1;yes;
1;17;C, D, A, B;1;2;2;yes;
20;18;C, D, B, A;1;2;1;yes;
2;19;D, A, B, C;2;1;1;yes;
3;20;D, A, C, B;2;1;1;yes;
21;21;D, B, A, C;2;2;2;yes;
4;22;D, B, A, C;2;1;1;yes;
22;23;D, C, A, B;2;2;2;yes;
5;24;D, C, B, A;2;1;1;no;
