participant;condition;layout;chats;part;topic;first_response_time
1;A;1;3;3;Pöytätenniksen säännöt;1,50
1;A;1;3;3;Arkkupakastin;4,96
1;A;1;3;3;Cheerleadingin kilpailusäännöt;2,09
1;A;1;3;3;Ompelukone;4,09
1;A;1;3;3;Jalkapallosäännöt;1,85
1;A;1;3;3;Televisio;1,78
1;B;2;3;4;Taekwondon kilpailusäännöt;1,57
1;B;2;3;4;Jääkaappi;1,74
1;B;2;3;4;Langattomat Bluetooth-kuulokkeet;1,89
1;B;2;3;4;Miekkailu;1,97
1;B;2;3;4;Painepesuri;1,68
1;C;1;4;1;Pyykinpesukone;2,26
1;C;1;4;1;Koripallon pelisäännöt;1,96
1;C;1;4;1;Kamiina;1,77
1;C;1;4;1;Lämpöpumppu;1,80
1;D;2;4;2;Päältäajettava ruohonleikkuri;2,13
1;D;2;4;2;Uuni;2,14
1;D;2;4;2;Kiuas;1,70
1;D;2;4;2;Kuivauskaappi;3,28
1;D;2;4;2;Kuivausrumpu;3,84
1;D;2;4;2;Mankeli;3,35
1;D;2;4;2;Astianpesukone;16,10
1;D;2;4;2;Tenniksen kilpailumääräykset;58,05
2;A;1;3;2;Koripallon pelisäännöt;3,93
2;A;1;3;2;Astianpesukone;1,48
2;A;1;3;2;Pyykinpesukone;1,44
2;A;1;3;2;Taekwondon kilpailusäännöt;9,87
2;A;1;3;2;Uuni;1,69
2;B;2;3;3;Mankeli;2,12
2;B;2;3;3;Agility;2,39
2;B;2;3;3;Televisio;5,58
2;B;2;3;3;Tenniksen kilpailumääräykset;3,25
2;B;2;3;3;Miekkailu;13,07
2;C;1;4;4;Jääkaappi;1,78
2;C;1;4;4;Arkkupakastin;1,28
2;C;1;4;4;Lämpöpumppu;2,21
2;C;1;4;4;Pöytätenniksen säännöt;1,79
2;C;1;4;4;Kamiina;1,93
2;D;2;4;1;Liesituuletin;2,32
2;D;2;4;1;Kiuas;2,10
2;D;2;4;1;Langattomat Bluetooth-kuulokkeet;2,86
2;D;2;4;1;Nelikopteri;4,74
3;A;1;3;2;Astianpesukone;2,08
3;A;1;3;2;Langattomat Bluetooth-kuulokkeet;1,45
3;A;1;3;2;Ompelukone;11,04
3;A;1;3;2;Kamiina;1,79
3;A;1;3;2;Taekwondon kilpailusäännöt;61,12
3;A;1;3;2;Lämpöpumppu;15,23
3;B;2;3;4;Päältäajettava ruohonleikkuri;3,19
3;B;2;3;4;Miekkailu;2,88
3;B;2;3;4;Nelikopteri;4,17
3;B;2;3;4;Televisio;2,66
3;B;2;3;4;Cheerleadingin kilpailusäännöt;2,60
3;B;2;3;4;Arkkupakastin;3,43
3;C;1;4;3;Mankeli;2,78
3;C;1;4;3;Jääkaappi;2,53
3;C;1;4;3;Kuivauskaappi;3,89
3;C;1;4;3;Painepesuri;1,39
3;C;1;4;3;Uuni;21,70
3;C;1;4;3;Tenniksen kilpailumääräykset;7,94
3;C;1;4;3;Kuivausrumpu;1,61
4;A;1;3;4;Lämpöpumppu;3,31
4;A;1;3;4;Tenniksen kilpailumääräykset;1,37
4;A;1;3;4;Pöytätenniksen säännöt;2,55
4;A;1;3;4;Langattomat Bluetooth-kuulokkeet;15,67
4;A;1;3;4;Astianpesukone;10,48
4;A;1;3;4;Ompelukone;9,08
4;B;2;3;2;Pyykinpesukone;2,07
4;B;2;3;2;Päältäajettava ruohonleikkuri;3,03
4;B;2;3;2;Liesituuletin;1,82
4;B;2;3;2;Cheerleadingin kilpailusäännöt;19,10
4;B;2;3;2;Kuivauskaappi;21,05
4;C;1;4;3;Agility;2,29
4;C;1;4;3;Miekkailu;2,38
4;C;1;4;3;Mikroaaltouuni;3,12
4;C;1;4;3;Jalkapallosäännöt;49,71
4;C;1;4;3;Nelikopteri;73,52
4;D;2;4;1;Koripallon pelisäännöt;3,28
4;D;2;4;1;Mankeli;3,54
4;D;2;4;1;Kuivausrumpu;7,03
4;D;2;4;1;Painepesuri;24,58
4;D;2;4;1;Kamiina;22,48
5;A;1;3;4;Cheerleadingin kilpailusäännöt;2,69
5;A;1;3;4;Liesituuletin;1,72
5;A;1;3;4;Kamiina;2,40
5;A;1;3;4;Mankeli;11,76
5;A;1;3;4;Mikroaaltouuni;1,97
5;A;1;3;4;Televisio;4,50
5;B;2;3;3;Miekkailu;3,29
5;B;2;3;3;Jalkapallosäännöt;7,63
5;B;2;3;3;Koripallon pelisäännöt;2,02
5;B;2;3;3;Agility;2,54
5;B;2;3;3;Lämpöpumppu;2,75
5;C;1;4;2;Kuivausrumpu;6,04
5;C;1;4;2;Päältäajettava ruohonleikkuri;4,47
5;C;1;4;2;Jääkaappi;18,23
5;C;1;4;2;Kiuas;7,36
5;C;1;4;2;Astianpesukone;26,31
5;D;2;4;1;Tenniksen kilpailumääräykset;5,43
5;D;2;4;1;Langattomat Bluetooth-kuulokkeet;4,48
5;D;2;4;1;Painepesuri;50,92
5;D;2;4;1;Pyykinpesukone;42,58
6;A;1;3;1;Mankeli;3,05
6;A;1;3;1;Pöytätenniksen säännöt;7,22
6;A;1;3;1;Taekwondon kilpailusäännöt;11,70
6;A;1;3;1;Painepesuri;57,36
6;A;1;3;1;Astianpesukone;19,09
6;A;1;3;1;Kuivauskaappi;11,18
6;B;2;3;2;Päältäajettava ruohonleikkuri;2,06
6;B;2;3;2;Miekkailu;37,21
6;B;2;3;2;Nelikopteri;24,67
6;B;2;3;2;Agility;2,39
6;B;2;3;2;Kamiina;72,64
6;C;1;4;3;Uuni;2,06
6;C;1;4;3;Jalkapallosäännöt;26,62
6;C;1;4;3;Koripallon pelisäännöt;17,82
6;C;1;4;3;Kuivausrumpu;9,08
6;C;1;4;3;Kiuas;77,69
6;D;2;4;4;Pyykinpesukone;2,39
6;D;2;4;4;Liesituuletin;2,30
6;D;2;4;4;Ompelukone;3,77
6;D;2;4;4;Lämpöpumppu;23,82
6;D;2;4;4;Tenniksen kilpailumääräykset;27,58
6;D;2;4;4;Arkkupakastin;26,02
7;A;1;3;1;Televisio;5,15
7;A;1;3;1;Ompelukone;2,74
7;A;1;3;1;Kiuas;98,88
7;A;1;3;1;Kuivausrumpu;26,32
7;A;1;3;1;Lämpöpumppu;2,48
7;A;1;3;1;Kamiina;19,71
7;B;2;3;2;Koripallon pelisäännöt;3,50
7;B;2;3;2;Painepesuri;3,12
7;B;2;3;2;Miekkailu;3,29
7;B;2;3;2;Arkkupakastin;3,38
7;B;2;3;2;Kuivauskaappi;2,32
7;B;2;3;2;Tenniksen kilpailumääräykset;3,01
7;C;1;4;4;Päältäajettava ruohonleikkuri;3,28
7;C;1;4;4;Jääkaappi;1,85
7;C;1;4;4;Pyykinpesukone;23,34
7;C;1;4;4;Cheerleadingin kilpailusäännöt;18,00
7;C;1;4;4;Langattomat Bluetooth-kuulokkeet;17,53
7;C;1;4;4;Taekwondon kilpailusäännöt;12,86
7;D;2;4;3;Pöytätenniksen säännöt;2,84
7;D;2;4;3;Mankeli;15,45
7;D;2;4;3;Jalkapallosäännöt;8,87
7;D;2;4;3;Uuni;24,16
7;D;2;4;3;Nelikopteri;4,01
7;D;2;4;3;Astianpesukone;3,23
7;D;2;4;3;Mikroaaltouuni;16,58
7;D;2;4;3;Agility;2,61
8;A;1;3;1;Miekkailu;3,04
8;A;1;3;1;Agility;2,18
8;A;1;3;1;Televisio;19,65
8;A;1;3;1;Cheerleadingin kilpailusäännöt;3,27
8;A;1;3;1;Lämpöpumppu;3,42
8;B;2;3;3;Astianpesukone;3,05
8;B;2;3;3;Langattomat Bluetooth-kuulokkeet;3,84
8;B;2;3;3;Painepesuri;16,33
8;B;2;3;3;Pöytätenniksen säännöt;6,52
8;B;2;3;3;Mikroaaltouuni;5,94
8;B;2;3;3;Ompelukone;16,17
8;C;1;4;2;Kuivauskaappi;2,17
8;C;1;4;2;Taekwondon kilpailusäännöt;1,63
8;C;1;4;2;Tenniksen kilpailumääräykset;1,88
8;C;1;4;2;Mankeli;59,23
8;C;1;4;2;Jääkaappi;2,49
8;C;1;4;2;Uuni;1,50
8;C;1;4;2;Koripallon pelisäännöt;19,54
8;C;1;4;2;Päältäajettava ruohonleikkuri;2,33
8;D;2;4;4;Arkkupakastin;1,61
8;D;2;4;4;Liesituuletin;1,99
8;D;2;4;4;Kuivausrumpu;1,80
8;D;2;4;4;Nelikopteri;2,01
8;D;2;4;4;Kiuas;2,05
8;D;2;4;4;Kamiina;1,80
9;A;1;3;1;Mankeli;3,11
9;A;1;3;1;Kuivauskaappi;5,31
9;A;1;3;1;Kuivausrumpu;53,17
9;A;1;3;1;Pöytätenniksen säännöt;32,19
9;A;1;3;1;Arkkupakastin;29,50
9;B;2;3;4;Jalkapallosäännöt;3,05
9;B;2;3;4;Ompelukone;45,27
9;B;2;3;4;Taekwondon kilpailusäännöt;36,94
9;B;2;3;4;Nelikopteri;18,86
9;B;2;3;4;Agility;2,43
9;B;2;3;4;Kiuas;16,42
9;C;1;4;2;Langattomat Bluetooth-kuulokkeet;4,46
9;C;1;4;2;Päältäajettava ruohonleikkuri;1,64
9;C;1;4;2;Astianpesukone;2,11
9;C;1;4;2;Cheerleadingin kilpailusäännöt;22,19
9;C;1;4;2;Uuni;2,36
9;C;1;4;2;Miekkailu;17,97
9;C;1;4;2;Tenniksen kilpailumääräykset;35,94
9;D;2;4;3;Kamiina;3,68
9;D;2;4;3;Koripallon pelisäännöt;4,04
9;D;2;4;3;Lämpöpumppu;24,91
9;D;2;4;3;Liesituuletin;17,39
9;D;2;4;3;Mikroaaltouuni;29,79
10;A;1;3;1;Kuivauskaappi;4,99
10;A;1;3;1;Jääkaappi;1,53
10;A;1;3;1;Tenniksen kilpailumääräykset;3,00
10;A;1;3;1;Taekwondon kilpailusäännöt;17,48
10;B;2;3;3;Nelikopteri;2,32
10;B;2;3;3;Ompelukone;5,50
10;B;2;3;3;Kamiina;3,86
10;B;2;3;3;Kiuas;3,82
10;C;1;4;4;Agility;1,85
10;C;1;4;4;Mikroaaltouuni;1,89
10;C;1;4;4;Päältäajettava ruohonleikkuri;3,15
10;C;1;4;4;Jalkapallosäännöt;23,64
10;C;1;4;4;Cheerleadingin kilpailusäännöt;21,82
10;C;1;4;4;Langattomat Bluetooth-kuulokkeet;5,71
10;D;2;4;2;Liesituuletin;2,10
10;D;2;4;2;Televisio;3,41
10;D;2;4;2;Miekkailu;2,85
10;D;2;4;2;Uuni;2,57
11;A;1;3;2;Lämpöpumppu;2,18
11;A;1;3;2;Langattomat Bluetooth-kuulokkeet;1,46
11;A;1;3;2;Nelikopteri;2,64
11;A;1;3;2;Tenniksen kilpailumääräykset;1,37
11;A;1;3;2;Kuivauskaappi;1,90
11;B;2;3;1;Koripallon pelisäännöt;3,35
11;B;2;3;1;Arkkupakastin;2,96
11;B;2;3;1;Pöytätenniksen säännöt;3,04
11;B;2;3;1;Televisio;24,95
11;B;2;3;1;Grilli;2,20
11;B;2;3;1;Mankeli;11,98
11;C;1;4;3;Cheerleadingin kilpailusäännöt;2,13
11;C;1;4;3;Mikroaaltouuni;2,69
11;C;1;4;3;Ompelukone;6,28
11;C;1;4;3;Liesituuletin;16,01
11;C;1;4;3;Miekkailu;5,29
11;C;1;4;3;Generaattori;13,59
11;D;2;4;4;Uuni;1,71
11;D;2;4;4;Pyykinpesukone;6,02
11;D;2;4;4;Päältäajettava ruohonleikkuri;10,24
11;D;2;4;4;Jalkapallosäännöt;2,28
11;D;2;4;4;Kuivausrumpu;8,93
11;D;2;4;4;Taekwondon kilpailusäännöt;3,77
11;D;2;4;4;Agility;17,53
11;D;2;4;4;Astianpesukone;44,79
12;A;1;3;2;Miekkailu;3,78
12;A;1;3;2;Jääkaappi;1,86
12;A;1;3;2;Astianpesukone;42,17
12;A;1;3;2;Jalkapallosäännöt;25,46
12;B;2;3;1;Pöytätenniksen säännöt;4,40
12;B;2;3;1;Lämpöpumppu;31,91
12;B;2;3;1;Uuni;23,70
12;B;2;3;1;Nelikopteri;43,50
12;C;1;4;4;Arkkupakastin;2,63
12;C;1;4;4;Pyykinpesukone;1,57
12;C;1;4;4;Liesituuletin;1,91
12;C;1;4;4;Mankeli;2,09
12;C;1;4;4;Cheerleadingin kilpailusäännöt;3,24
12;D;2;4;3;Kuivausrumpu;2,45
12;D;2;4;3;Langattomat Bluetooth-kuulokkeet;4,87
12;D;2;4;3;Agility;14,90
12;D;2;4;3;Ompelukone;2,87
13;A;1;3;3;Liesituuletin;2,25
13;A;1;3;3;Langattomat Bluetooth-kuulokkeet;2,41
13;A;1;3;3;Kuivauskaappi;2,10
13;A;1;3;3;Päältäajettava ruohonleikkuri;4,65
13;A;1;3;3;Pyykinpesukone;1,66
13;B;2;3;1;Kuivausrumpu;2,26
13;B;2;3;1;Cheerleadingin kilpailusäännöt;24,70
13;B;2;3;1;Grilli;17,36
13;B;2;3;1;Jääkaappi;3,00
13;B;2;3;1;Jalkapallosäännöt;4,34
13;B;2;3;1;Mankeli;75,75
13;C;1;4;2;Kiuas;4,98
13;C;1;4;2;Televisio;1,69
13;C;1;4;2;Pöytätenniksen säännöt;2,13
13;C;1;4;2;Painepesuri;15,29
13;C;1;4;2;Tenniksen kilpailumääräykset;9,99
13;C;1;4;2;Lämpöpumppu;1,94
13;D;2;4;4;Ompelukone;2,25
13;D;2;4;4;Arkkupakastin;4,21
13;D;2;4;4;Astianpesukone;9,08
13;D;2;4;4;Uuni;2,48
13;D;2;4;4;Mikroaaltouuni;29,96
13;D;2;4;4;Nelikopteri;54,11
13;D;2;4;4;Koripallon pelisäännöt;2,71
13;D;2;4;4;Generaattori;33,47
14;A;1;3;4;Televisio;1,63
14;A;1;3;4;Koripallon pelisäännöt;1,24
14;A;1;3;4;Nelikopteri;2,29
14;A;1;3;4;Pöytätenniksen säännöt;1,33
14;A;1;3;4;Mikroaaltouuni;1,27
14;A;1;3;4;Jääkaappi;2,37
14;A;1;3;4;Kiuas;12,59
14;B;2;3;1;Päältäajettava ruohonleikkuri;2,06
14;B;2;3;1;Kuivausrumpu;2,11
14;B;2;3;1;Cheerleadingin kilpailusäännöt;2,27
14;B;2;3;1;Arkkupakastin;13,05
14;B;2;3;1;Uuni;1,57
14;B;2;3;1;Astianpesukone;12,46
14;C;1;4;2;Kuivauskaappi;3,55
14;C;1;4;2;Grilli;1,29
14;C;1;4;2;Ompelukone;1,86
14;C;1;4;2;Miekkailu;1,94
14;C;1;4;2;Kamiina;15,92
14;C;1;4;2;Agility;10,11
14;C;1;4;2;Mankeli;1,68
14;C;1;4;2;Lämpöpumppu;10,42
14;D;2;4;3;Langattomat Bluetooth-kuulokkeet;2,58
14;D;2;4;3;Liesituuletin;1,67
14;D;2;4;3;Tenniksen kilpailumääräykset;3,01
14;D;2;4;3;Jalkapallosäännöt;18,11
14;D;2;4;3;Taekwondon kilpailusäännöt;5,26
15;A;1;3;3;Lämpöpumppu;2,49
15;A;1;3;3;Painepesuri;1,84
15;A;1;3;3;Arkkupakastin;1,49
15;A;1;3;3;Jääkaappi;1,98
15;A;1;3;3;Mikroaaltouuni;1,83
15;A;1;3;3;Pöytätenniksen säännöt;1,33
15;B;2;3;1;Tenniksen kilpailumääräykset;2,20
15;B;2;3;1;Kuivauskaappi;27,85
15;B;2;3;1;Uuni;20,04
15;B;2;3;1;Mankeli;14,01
15;B;2;3;1;Generaattori;58,78
15;C;1;4;4;Televisio;1,42
15;C;1;4;4;Miekkailu;1,49
15;C;1;4;4;Grilli;1,89
15;C;1;4;4;Langattomat Bluetooth-kuulokkeet;20,59
15;C;1;4;4;Päältäajettava ruohonleikkuri;14,19
15;C;1;4;4;Taekwondon kilpailusäännöt;14,01
15;D;2;4;2;Astianpesukone;2,33
15;D;2;4;2;Kuivausrumpu;2,55
