organization_id;date;chat_count;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42492;24;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42493;21;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42494;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42496;10;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42499;29;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42500;27;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42501;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42502;25;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42503;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42506;19;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42507;27;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42508;11;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42509;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42510;18;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42513;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42514;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42517;28;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42520;41;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;42521;30;;
019d2500-73dd-11e4-a414-00163e0c01f2;42492;113;;
019d2500-73dd-11e4-a414-00163e0c01f2;42493;89;;
019d2500-73dd-11e4-a414-00163e0c01f2;42494;74;;
019d2500-73dd-11e4-a414-00163e0c01f2;42496;76;;
019d2500-73dd-11e4-a414-00163e0c01f2;42499;125;;
019d2500-73dd-11e4-a414-00163e0c01f2;42500;82;;
019d2500-73dd-11e4-a414-00163e0c01f2;42501;71;;
019d2500-73dd-11e4-a414-00163e0c01f2;42502;64;;
019d2500-73dd-11e4-a414-00163e0c01f2;42503;58;;
019d2500-73dd-11e4-a414-00163e0c01f2;42506;119;;
019d2500-73dd-11e4-a414-00163e0c01f2;42507;91;;
019d2500-73dd-11e4-a414-00163e0c01f2;42508;85;;
019d2500-73dd-11e4-a414-00163e0c01f2;42509;61;;
019d2500-73dd-11e4-a414-00163e0c01f2;42510;52;;
019d2500-73dd-11e4-a414-00163e0c01f2;42513;88;;
019d2500-73dd-11e4-a414-00163e0c01f2;42514;65;;
019d2500-73dd-11e4-a414-00163e0c01f2;42515;93;;
019d2500-73dd-11e4-a414-00163e0c01f2;42516;78;;
019d2500-73dd-11e4-a414-00163e0c01f2;42517;85;;
019d2500-73dd-11e4-a414-00163e0c01f2;42520;88;;
019d2500-73dd-11e4-a414-00163e0c01f2;42521;88;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42491;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42492;3;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42493;5;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42494;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42495;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42496;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42500;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42501;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42502;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42503;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42504;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42506;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42507;4;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42508;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42510;3;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42511;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42512;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42513;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42515;1;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42516;5;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42517;5;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42518;2;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42520;3;;
031e6580-4253-11e4-a0fb-00163e0c01f2;42521;1;;
040339fc-fcac-11e5-baaf-00163eaf836a;42492;18;;
040339fc-fcac-11e5-baaf-00163eaf836a;42493;11;;
040339fc-fcac-11e5-baaf-00163eaf836a;42494;350;;
040339fc-fcac-11e5-baaf-00163eaf836a;42495;31;;
040339fc-fcac-11e5-baaf-00163eaf836a;42496;255;;
040339fc-fcac-11e5-baaf-00163eaf836a;42497;26;;
040339fc-fcac-11e5-baaf-00163eaf836a;42498;40;;
040339fc-fcac-11e5-baaf-00163eaf836a;42499;289;;
040339fc-fcac-11e5-baaf-00163eaf836a;42500;254;;
040339fc-fcac-11e5-baaf-00163eaf836a;42501;344;;
040339fc-fcac-11e5-baaf-00163eaf836a;42502;198;;
040339fc-fcac-11e5-baaf-00163eaf836a;42503;184;;
040339fc-fcac-11e5-baaf-00163eaf836a;42506;330;;
040339fc-fcac-11e5-baaf-00163eaf836a;42507;281;;
040339fc-fcac-11e5-baaf-00163eaf836a;42508;216;;
040339fc-fcac-11e5-baaf-00163eaf836a;42509;248;;
040339fc-fcac-11e5-baaf-00163eaf836a;42510;233;;
040339fc-fcac-11e5-baaf-00163eaf836a;42511;17;;
040339fc-fcac-11e5-baaf-00163eaf836a;42513;292;;
040339fc-fcac-11e5-baaf-00163eaf836a;42514;291;;
040339fc-fcac-11e5-baaf-00163eaf836a;42515;270;;
040339fc-fcac-11e5-baaf-00163eaf836a;42516;266;;
040339fc-fcac-11e5-baaf-00163eaf836a;42517;164;;
040339fc-fcac-11e5-baaf-00163eaf836a;42518;10;;
040339fc-fcac-11e5-baaf-00163eaf836a;42519;8;;
040339fc-fcac-11e5-baaf-00163eaf836a;42520;302;;
040339fc-fcac-11e5-baaf-00163eaf836a;42521;262;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42492;4;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42493;6;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42494;2;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42499;10;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42500;11;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42501;9;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42502;8;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42506;10;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42507;6;;
0a048f80-df7b-11e4-b563-00163e0c01f2;42508;3;;
