operator_count;date;chat_count;;
128;43191;2018;;
181;43192;3800;;
951;43193;16834;;
990;43194;15615;;
995;43195;14984;;
922;43196;13397;;
216;43197;3858;;
155;43198;3354;;
993;43199;16925;;
995;43200;15136;;
1023;43201;15204;;
1035;43202;14879;;
982;43203;13921;;
203;43204;3551;;
155;43205;3290;;
1020;43206;17002;;
1037;43207;16248;;
1026;43208;15313;;
1012;43209;13803;;
933;43210;12635;;
198;43211;3844;;
152;43212;3366;;
1014;43213;16292;;
1022;43214;15116;;
1030;43215;14887;;
1017;43216;14434;;
934;43217;13093;;
195;43218;3662;;
156;43219;3309;;
865;43220;12644;;
210;43221;3562;;
1004;43222;16274;;
1012;43223;14873;;
974;43224;13836;;
210;43225;3483;;
150;43226;3063;;
939;43227;15797;;
999;43228;15184;;
982;43229;13809;;
269;43230;4034;;
820;43231;12315;;
218;43232;3248;;
143;43233;2825;;
998;43234;16110;;
969;43235;15123;;
983;43236;15510;;
927;43237;13821;;
911;43238;12696;;
213;43239;3169;;
150;43240;2952;;
947;43241;14871;;
1002;43242;15559;;
1006;43243;15086;;
969;43244;14114;;
881;43245;12675;;
197;43246;3226;;
135;43247;2866;;
912;43248;15603;;
991;43249;15095;;
1002;43250;15213;;
956;43251;14817;;
