organization_id;date;chat_count;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43221;8;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43222;26;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43223;17;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43224;16;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43225;10;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43226;12;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43227;29;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43228;32;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43229;35;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43230;18;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43231;8;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43232;6;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43233;9;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43234;22;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43235;24;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43236;19;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43237;23;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43238;25;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43239;13;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43240;12;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43241;31;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43242;3;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43244;2;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43250;8;;
00d61a80-cc7c-11e4-a596-00163e0c01f2;43251;24;;
019d2500-73dd-11e4-a414-00163e0c01f2;43222;69;;
019d2500-73dd-11e4-a414-00163e0c01f2;43223;64;;
019d2500-73dd-11e4-a414-00163e0c01f2;43224;53;;
019d2500-73dd-11e4-a414-00163e0c01f2;43227;76;;
019d2500-73dd-11e4-a414-00163e0c01f2;43228;53;;
019d2500-73dd-11e4-a414-00163e0c01f2;43229;61;;
019d2500-73dd-11e4-a414-00163e0c01f2;43231;58;;
019d2500-73dd-11e4-a414-00163e0c01f2;43234;62;;
