participant;condition;layout;chats;part;efficiency;stress;control;frustration;memory
1;A;1;3;3;4;2;4;2;4
1;B;2;3;4;5;1;5;1;5
1;C;1;4;1;4;3;4;2;5
1;D;2;4;2;5;3;5;1;5
2;A;1;3;2;4;2;4;2;5
2;B;2;3;3;3;3;2;3;2
2;C;1;4;4;4;3;3;4;2
2;D;2;4;1;2;2;3;2;4
3;A;1;3;2;4;2;4;1;5
3;B;2;3;4;2;3;3;2;5
3;C;1;4;3;3;1;4;1;5
4;A;1;3;4;3;2;3;2;4
4;B;2;3;2;4;2;4;2;5
4;C;1;4;3;2;3;2;2;4
4;D;2;4;1;2;2;2;2;4
5;A;1;3;4;4;1;3;2;2
5;B;2;3;3;4;1;3;2;2
5;C;1;4;2;3;1;4;2;1
5;D;2;4;1;2;3;1;4;2
6;A;1;3;1;5;2;5;1;4
6;B;2;3;2;5;1;4;1;5
6;C;1;4;3;4;3;4;1;5
6;D;2;4;4;4;3;4;2;5
7;A;1;3;1;4;2;4;1;3
7;B;2;3;2;4;2;4;2;3
7;C;1;4;4;3;2;3;2;3
7;D;2;4;3;4;2;4;1;3
8;A;1;3;1;3;3;4;2;4
8;B;2;3;3;5;2;5;2;5
8;C;1;4;2;4;2;5;2;4
8;D;2;4;4;5;1;5;1;5
9;A;1;3;1;3;4;2;2;2
9;B;2;3;4;4;2;4;2;3
9;C;1;4;2;3;3;2;2;2
9;D;2;4;3;3;2;3;2;3
10;A;1;3;1;4;2;4;1;3
10;B;2;3;3;3;3;4;2;3
10;C;1;4;4;4;3;4;1;4
10;D;2;4;2;4;3;4;3;2
11;A;1;3;2;2;2;2;1;3
11;B;2;3;1;4;2;4;1;5
11;C;1;4;3;3;3;3;1;3
11;D;2;4;4;4;2;3;1;3
12;A;1;3;2;4;2;5;1;3
12;B;2;3;1;3;3;4;2;2
12;C;1;4;4;4;4;3;4;2
12;D;2;4;3;3;4;3;2;2
13;A;1;3;3;4;1;4;1;4
13;B;2;3;1;4;2;4;1;4
13;C;1;4;2;4;4;3;3;4
13;D;2;4;4;5;3;4;1;3
14;A;1;3;4;5;1;5;1;5
14;B;2;3;1;5;3;5;3;2
14;C;1;4;2;5;3;5;1;4
14;D;2;4;3;3;5;3;4;2
15;A;1;3;3;4;1;5;1;4
15;B;2;3;1;3;2;4;1;3
15;C;1;4;4;4;2;4;1;4
15;D;2;4;2;2;4;2;4;3
16;A;1;3;4;3;1;3;1;4
16;B;2;3;1;2;4;2;2;3
16;C;1;4;3;3;3;3;1;3
16;D;2;4;2;3;2;2;1;3
17;A;1;3;2;4;2;4;2;3
17;B;2;3;4;5;1;4;1;4
17;C;1;4;1;3;4;3;5;2
17;D;2;4;3;4;2;4;2;3
18;A;1;3;3;4;3;3;3;3
18;B;2;3;2;4;2;4;2;4
18;C;1;4;1;3;4;2;4;3
18;D;2;4;4;4;4;3;3;3
19;A;1;3;4;5;2;4;2;4
19;B;2;3;2;4;3;3;3;4
19;C;1;4;1;2;4;2;4;2
19;D;2;4;3;4;2;4;2;4
20;A;1;3;4;5;3;3;3;3
20;B;2;3;3;5;2;5;2;5
20;C;1;4;1;4;4;4;4;2
20;D;2;4;2;5;3;5;2;3
21;A;1;3;3;4;1;4;1;4
21;B;2;3;2;3;2;4;1;2
21;C;1;4;4;4;3;2;3;2
21;D;2;4;1;2;3;1;2;4
22;A;1;3;3;3;2;4;3;4
22;B;2;3;4;5;3;4;3;4
22;C;1;4;2;5;2;4;2;4
22;D;2;4;1;4;4;3;3;4
23;A;1;3;1;4;2;4;1;5
23;B;2;3;4;4;1;4;1;5
23;C;1;4;3;4;1;4;1;5
23;D;2;4;2;4;2;4;1;5
24;A;1;3;2;5;2;4;1;4
24;B;2;3;3;5;3;4;1;2
24;C;1;4;1;2;3;3;4;4
24;D;2;4;4;4;4;4;4;1
